1.1896e+06,1.2275e+06,1.2529e+06,1.2782e+06,1.3035e+06,1.3288e+06,1.3541e+06,1.3794e+06
1.2837e+06,1.2837e+06,1.2837e+06,1.2837e+06,1.2837e+06,1.2837e+06,1.2837e+06,1.2837e+06
1.1896e+06,1.1896e+06,1.1896e+06,1.1896e+06,1.1896e+06,1.1896e+06,1.1896e+06,1.1896e+06
1.2525e+06,1.2905e+06,1.3158e+06,1.3412e+06,1.3665e+06,1.3918e+06,1.4171e+06,1.4424e+06
1.2837e+06,1.3217e+06,1.347e+06,1.3723e+06,1.3976e+06,1.4229e+06,1.4483e+06,1.4736e+06
1.3011e+06,1.3011e+06,1.3011e+06,1.3011e+06,1.3011e+06,1.3011e+06,1.3011e+06,1.3011e+06
1.2488e+06,1.2868e+06,1.3121e+06,1.3374e+06,1.3627e+06,1.388e+06,1.4134e+06,1.4387e+06
1.2488e+06,1.2488e+06,1.2488e+06,1.2488e+06,1.2488e+06,1.2488e+06,1.2488e+06,1.2488e+06
1.3011e+06,1.3391e+06,1.3644e+06,1.3898e+06,1.4151e+06,1.4404e+06,1.4657e+06,1.491e+06
1.37e+06,1.408e+06,1.4333e+06,1.4586e+06,1.4839e+06,1.5093e+06,1.5346e+06,1.5599e+06
1.2502e+06,1.2502e+06,1.2502e+06,1.2502e+06,1.2502e+06,1.2502e+06,1.2502e+06,1.2502e+06
1.2361e+06,1.2741e+06,1.2994e+06,1.3248e+06,1.3501e+06,1.3754e+06,1.4007e+06,1.426e+06
1.2915e+06,1.2915e+06,1.2915e+06,1.2915e+06,1.2915e+06,1.2915e+06,1.2915e+06,1.2915e+06
1.2502e+06,1.2881e+06,1.3134e+06,1.3388e+06,1.3641e+06,1.3894e+06,1.4147e+06,1.44e+06
1.2915e+06,1.3294e+06,1.3548e+06,1.3801e+06,1.4054e+06,1.4307e+06,1.456e+06,1.4813e+06
